"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"339","합계","영등포구","영등포본동",1091,664,427,22714,0.0480320507176191
"41","합계","용산구","남영동",519,397,122,7552,0.0687235169491525
"50","합계","용산구","보광동",586,334,252,14060,0.041678520625889
"49","합계","용산구","서빙고동",364,210,154,13458,0.0270471095259325
"38","합계","용산구","소계",7621,4393,3228,233284,0.0326683355909535
"44","합계","용산구","용문동",454,246,208,11664,0.038923182441701
"40","합계","용산구","용산2가동",456,264,192,10333,0.0441304558211555
"52","합계","용산구","원효로1동",441,242,199,17774,0.0248115224485203
"42","합계","용산구","원효로2동",465,269,196,13795,0.0337078651685393
"45","합계","용산구","이촌1동",500,281,219,25707,0.0194499552651029
"46","합계","용산구","이촌2동",341,194,147,8094,0.0421299728193724
"47","합계","용산구","이태원1동",215,121,94,7947,0.0270542343022524
"48","합계","용산구","이태원2동",297,161,136,10427,0.0284837441258272
"51","합계","용산구","청파동",805,471,334,19833,0.0405889174607977
"53","합계","용산구","한강로동",503,296,207,22886,0.0219785021410469
"54","합계","용산구","한남동",590,315,275,22054,0.0267525165502857
"43","합계","용산구","효창동",353,186,167,10888,0.0324210139603233
"39","합계","용산구","후암동",732,406,326,16812,0.0435403283369022
"203","합계","은평구","갈현1동",853,494,359,17151,0.0497347093463938
"204","합계","은평구","갈현2동",1252,718,534,28176,0.044434980124929
"205","합계","은평구","구산동",2172,1494,678,32020,0.0678326046221112
"201","합계","은평구","녹번동",1667,949,718,36884,0.0451957488341828
"206","합계","은평구","대조동",1243,726,517,26862,0.0462735462735463
"202","합계","은평구","불광1동",1709,957,752,38265,0.0446622239644584
"214","합계","은평구","불광2동",1456,858,598,27280,0.0533724340175953
"200","합계","은평구","소계",21732,12662,9070,470602,0.0461791492598842
"212","합계","은평구","수색동",634,349,285,13210,0.0479939439818319
"209","합계","은평구","신사1동",1229,727,502,26984,0.0455455084494515
"210","합계","은평구","신사2동",888,512,376,19497,0.0455454685336206
"216","합계","은평구","역촌동",2138,1197,941,44984,0.0475280099590966
"207","합계","은평구","응암1동",1360,751,609,33279,0.040866612578503
